reward,loss,timesteps
7.9,0.8162639,1465
6.3,0.48182213,3376
7.11,1.3876405,5214
7.65,1.3033638,7172
8.43,1.2041775,9493
8.55,0.9168587,11539
8.41,1.5484015,13514
9.23,1.324539,15845
9.01,1.0708982,17585
9.09,1.2550092,19163
9.56,0.8434354,21309
10.2,1.5685506,23917
10.6,2.5246477,25274
10.8,0.8290867,27128
11.2,1.468169,29345
11.7,1.7555094,31347
13,1.7438143,34074
13.5,2.199822,35968
13.9,2.0518408,38132
14.2,2.3184123,39988
15.1,1.4898,41985
15.5,2.0563917,44083
16.3,2.272388,46210
16.4,1.5728703,48470
16.8,1.0991776,49851
16.4,1.895372,52465
16.2,1.4654326,54531
16.8,2.3153737,56266
16.4,1.9328611,58740
16.5,1.5723326,59792
17.5,2.3718596,62554
17.6,2.0647511,64214
17.9,1.7966993,66509
17.4,2.0244997,68585
17.4,2.4583232,70848
17.3,2.0250213,72148
17.4,1.4467434,74761
16.5,2.2964318,77099
16.4,1.4018512,78504
16.7,1.5885155,80457
15.7,1.9191822,83403
14.7,1.3680079,84830
14.5,1.4809753,87579
14.6,1.9872819,89085
14.9,1.3696177,90669
14.6,1.3018245,93360
14.3,2.156928,95580
14.9,1.6991177,97069
15.9,2.0325303,98416
15.8,1.7087684,101279
16,2.3881197,103309
16.1,2.2999637,105106
17,2.0696163,107524
17.2,2.3176632,109291
17.3,2.8206496,111985
